OCR|PlaceName|Items|Currency|Total|Timestamp
"SAVOURYBREAD
1 1 @ 24.99
SPAR P/CRISPS 17
TOTAL
TENDERED Credit Card
MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
FOR 2 ITEMS
excl.
67.81
SLIP / TILL
4282 006
CASHIER NAME:
EACH
TAX INVOICE
170G
Fikile
TAX
10.17
R
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
24.99 A
52.99 A
77.98
77.98
/ CASHIER/ DATE/ TIME
203 02.05.24 12:06
incl.
77.98 A"|Menlyn Main Centre Superspar|[{'name':'Savoury Bread', 'quantity':1, 'price':24.99}, {'name':'Spar P/Crisps 17','quantity':1,'price':52.99}]|R|77.98|02/05/2024 12:06
"KAUAI MENLYN MAINE
Menlyn Ma ine Central Square, Corner of
Dallas Ave and, Aram ist Ave, Menlyn,
Pretoria
Phone : 087 159 0127
1335 SIKHALIPHILE
KAUAT
CHK 1053 TBL 125/1
2024/04/18 12:13 PM
Card Ret
VAT:
NATURALLY
1 Roasted Veg Falafel Wrap 95.00
1 Berry Dairy Lrg
Subtotal
Payment
21.39 Tax
Change Due
21.39 RSA VAT 15%
69.00
R164.00
RI64.00
R164.00
RO.00
164.00
164.00
Check Closed -
2024/04/18 12:13 PM"|Kauai Menlyn Maine|[{'name':'Roasted Veg Falafel Wrap','quantity':1,'price':95.00},{'name':'Berry Dairy Lrg','quantity':1,'price':69.00}]|R|164.00|18/04/2024  12:13PM
"Menlyn Ma ine Central Square, Corner of
Dallas Ave and, Aramist Ave, Menlyn,
Pretoria
KAUAI MENLYN MAINE
Phone: 087 159 0127
7858 Vhuhwavho
KAUAI
Card Ret
CHK 1810 TBL 119/1
2024/04/22 5:16 PM
Subtotal
Payment
1 Peanut utter Bliss Lrg 69.00
VAT:
NATURALLY
Change Due
9.00 Tax
9.00 RSA VAT 15%
R69.00
R69.00
R69.00
Check Closed
2024/04/22 5:17 PM
RO.00
69.00
69.00"|Kauai Menlyn Maine|{'name':'Peanut Butter Bliss Lrg','quantity':1,'price':69.00}|R|69.00|22/04/24 5:17PM
"MENLYN MAIN CENTRE
SUPERSPAR
VAT rate
15.00%
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
SPAR MIN WATER
TOTAL FOR 1 ITEMS
TENDERED Credit Card
TAX INVOICE
exc1.
25.21
5LT
SLIP / TILL
3024 003
CASHIER NAME: TSHIAMO
TAX
3.78
R
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
28.99 A
28.99
28.99
incl.
28.99 A
/ CASHIER/ DATE /
231 27.04.24 16:18
TIME"|Menlyn Main Centre Superspar|{'name':'Spar Min Water','quantity':1,'price':28.99}|R|28.99|27/04/2024 16:18
"1
MENLYN MAIN CENTRE
SUPERSPAR
OREO BISC 128.8G
SAVOURY BREAD
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
@ 24.99
TOTAL
TENDERED Credit Card
FOR 2 ITEMS
exc1.
TAX INVOICE
37.37
128.8
SLIP / TILL
3463 006
CASHIER NAME: Fikile
EACH
TAX
5.61
R
17.99 A
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
24.99 A
42.98
42.98
incl.
42.98 A
/ CASHIER / DATE /
203 30.04.24 12:17
TIME"|Menlyn Main Centre Superspar|[{'name':'Oreo Bisc 128.8g','quantity':1,'price':17.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|42.98|30/04/2024 12:17
"KAUAI MENLYN MAINE
Neniyn Maine Cent ral Square, Corner of
Dallas Ave and, Aramist Ave, Menlyn,
Pretoria
Phone : 087 159 0127
VAT:
NATL LLY
7858 Vau wavhe
KAUAT
CHK 1099
Subtotal
Payment
2024/04/30 12:20 PH
1 Berry Dairy Lrg
Card Ret
Change Due
9.00 RSA VAT 15%
9.00 Tax
TBLi 9/1
69.00
R69,00
R69.00
R69.00
RO.00
69.00
69.00
Check Closed
2024/04/30 12:20 PM"|Kauai Menlyn Maine|{'name':'Berry Dairy Lrg','quantity':1,'price':69.00}|R|69.00|30/04/24 12:20PM
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
DORITOS SHT CHIL
AQUELLE WATER STILL
TOTAL FOR 2 ITEMS
TENDERED Credit Card
240GR
VAT rate excl.
15.00% 48.68
5LT
TAX INVOICE
TAX
7.30
SLIP / TILL / CASHIER / DATE /
5587 005
CASHIER NAME: Thandiwe
208 18.04.24
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
25.99 A
29.99 A
55.98
55.98
incl.
55.98 A
TIME
17:12"|Menlyn Main Centre Superspar|[{'name':'Doritos Swt Chil','quantity':1,'price':25.99},{'name':'Aquelle Water Still','quantity':1,'price':29.99}]|R|55.98|18/04/2024 17:12
"BONAQUA STILL
SPAR MILK L/L 2%
LIPTON I/TEA M/B
LAYS SALT
VAT rate
0.00%
MENLYN HAIN CENTRE
SUPLRSPAR
VAT NR: 4770111336
LIQ LIC: GIB700000378
PHONE NR: 012 348 2204
15.00%
(K)SPAR CARRIERS BAG RE 1'S
TOTAL FOR 5 ITEMS
TENDERED Credit Card
6927
excl.
5LT
19.49
1.5LT
TAX INVOICE
67.80
120GR
TAX
0.00
10.17
SLIP / TILL / CASHIER / DATE /
004 152 22.03.24
CASHIER NAME: Florence
R
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
26 99 A
19.49 *
25.99 A
23.49 A
1.50 A
97.46
97.46
Today SPAR Saved You
0.50
incl.
19.49 *
77.97 A
TIME
16: 12"|Menlyn Main Centre Superspar|[{'name':'Bonaqua Still','quantity':1,'price':26.99},{'name':'Spar Milk L/L 2%','quantity':1,'price':19.49},{'name':'Lipton I/Tea M/B','quantity':1,'price':25.99},{'name':'Lays Salt','quantity':1,'price':23.49},{'name':'(K)Spar Carriers Bag Re','quantity':1,'price':1.50}]|R|97.46|22/03/2024 16:12
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
LAYS AMERICAN BB
LIPTON ICE TEA
M/MAINE ASSORTED PIZZA
1 @ 32.99
TUC BISC 100G 0
SPAR GRNC A T/CH
MERBA COUIES CHOCOLATE
SPAR MIN WATER
TOTAL FOR 7 ITEMS
TENDERED Credit Card
VAT rate
15.00%
SLIP / TILL
6331 006
CASHIER NAME:
120GR
1.5LT
EACH
212
100G
1KG
200GR
5LT
TAX INV0ICE
excl.
226.03 33.90
TAX
R
23.99 A
Ntombi
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGA N
25.99 A
32.99 A
18 99 A
73.99
54.99 A
28.99
259.93
259.93
/ CASHIER / DATE /
18.03.24 13:31
incl.
259.93 A
TIME
À"|Menlyn Main Centre Superspar|[{'name':'Lays American BB','quantity':1,'price':23.99},{'name':'Lipton Ice Tea','quantity':1,'price':25.99},{'name':'M/Maine Assorted Pizza','quantity':1,'price':32.99},{'name':'Tuc Bisc 100g','quantity':1,'price':18.99},{'name':'Spar Grnola T/CH','quantity':1,'price':73.99},{'name':'Merba Cookies Chocolate','quantity':1,'price':54.99},{'name':'Spar Min Water','quantity':1,'price':28.99}]|R|259.93|18/03/2024 13:31
"1
MENLYN MAIN CENTRE
SUPERSPAR
KIT KAT CHOC MILK 4F
SAVOURY BREAD
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
@ 24.99
TOTAL
TENDERED Credit Card
FOR 2 ITEMS
TAX INVOICE
excl.
41.5G
EACH
34.77
TAX
5.21
R
14.99 A
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
24.99 A
39.98
39.98
incl.
39.98 A
SLIP / TILL / CASHIER / DATE/
7840 004 212 26.03.24 12:07
CASHIER NAME: Ntombi
TIME"|Menlyn Main Centre Superspar|[{'name':'Kit Kat Choc Milk 4F','quantity':1,'price':14.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|39.98|26/03/2024 12:07
"MENL YN MAIN CENTRE
SUPERSPAR
VAT NR: 47/0111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
SAVOURY BREAD
1@ L4.93
TOTAL FOR 1 ITEMS
TENDERED Credit Card
VAT rate
15.00%
SLIP / TILL
4772 007
CASHIER NAME:
TAX INVOICE
exc.
21.73
EACH
TAX
3.26
/ CASHIER / DATE /
203
15.03.24
Fikile
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
24.99 A
24.99
24.99
incl.
24.99 4
TIME
12:09"|Menlyn Main Centre Superspar|{'name':'Savoury Bread','quantity':1,'price':24.99}|R|24.99|15/03/2024 12:09
"SUPERSPAAO
MENLYN MAIN CENTRE
SUPERSPAR
SAVOURY BREAD
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
1@ 24.99
SIR THE BERRIES
VAT rate
15.00%
TENDERED Credit Card
(K)SPAR CARRIERS BAG RE 1'S
TOTAL FUR 3 ITEMS
excl.
TAX INVOICE
46.50
EACH
500ML
SLIP/ TILL
6716 006
CASHIER NAME: Violet
225
/ CASHIER/ DATE /
15.04.24
TAX
6.98
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
24.99 A
26.99 A
1.50 A
53.48
53.48
incl.
53.48 A
TIME
12:19"|Menlyn Main Centre Superspar|[{'name':'Savoury Bread','quantity':1,'price':24.99},{'name':'Sir The Berries','quantity':1,'price':26.99},{'name':'(K)Spar Carriers Bag Re','quantity':1,'price':1.50}]|R|53.48|15/04/2024 12:19
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
RED BULL APR/STR
SAVOURY BREA
1
24.99
TOTAL FOR 2 ITEMS
TENDERED Credit Card
VAT rate
15.00%
--- TAX INVOICE
exc1.
37.37
SLIP / TILL
6294 005
CASHIER NAME:
250ML
EACH
TAX
5.61
/ CASHIER / DATE
R
PATRICIA M
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
17.99 A
24.99 A
42.98
42.98
incl.
42.98 A
/ TIME
253 20.03.24 12:17"|Menlyn Main Centre Superspar|[{'name':'Red Bull APR/STR','quantity':1,'price':17.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|42.98|20/03/2024 12:17
"SPAR MILK SKIM
BEEF FRIKKADELS
0.396kg @
DORITOS SWT CHIL
L/HOOD GOUDA GR
LIPTON ICE TEA
AG TOMATO SAUCE
TOTAL FOR 6 ITEMS
TENDERED Credit Card
VAT rate
0.00%
15.00%
MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
2031
129.99R
1LT
1P/K
/kg
240GR
200GR
1.5LT
350ML
TAX INVOICE
TAX
excl.
19.49
158.64 23.80
0.00
SLIP / TILL / CASHIER / DATE /
003
CASHIER NAME: Priscilla
221 22.04.24
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R
19.49 *
51.48 A
25.99 A
46.99 A
25.99 A
31.99 A
201.93
201.93
incl.
19.49 *
182.44 A
TIME
17:12"|Menlyn Main Centre Superspar|[{'name':'Spar Milk Skim','quantity':1,'price':19.49},{'name':'Beef Frikkadels','quantity':1,'price':51.48},{'name':'Doritos Swt Chil','quantity':1,'price':25.99},{'name':'L/Wood Gouda Gr','quantity':1,'price':46.99},{'name':'Lipton Ice Teas','quantity':1,'price':25.99},{'name':'Ag Tomato Sauce','quantity':1,'price':31.99}]|R|201.93|22/04/2024 17:12
"BOS ICE TEA BERR
SPAR SPAGHETTI
SAVOURY BREAD
1
MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
VAT rate
15.00%
TOTAL FOR 3 iEMS
TENDERED Credit Card
24.99
7514
CASHIER NAM. :
0
evc.
54.76
PLEA
300ML
TAX INVOICE
500GR
208
EACH
SLIP/ TILL / CASHIER / DATE
TAX
3.21
FOR
R
18.99 A
RT
-GAIN
18.99 A
24.99 A
2.97
62.97
/ TIME
25.03.24 12:14
incl.
62.97 A"|Menlyn Main Centre Superspar|[{'name':'Bos Ice Tea Berr','quantity':1,'price':18.99},{'name':'Spar Spaghetti','quantity':1,'price':18.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|62.97|25/03/2024 12:14
"MENLYN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
KIT KAT CHOC MILK 4F
THIRSTI ISOFIT
ENDURA RACEDAY R/BERRY
TOTAL FOR 3 ITEMS
TENDERED Credit Card
VAT rate
15.00%
excl.
TAX INVOICE
TAX
38.23
41.5G
500ML
007
CASHIER NAME: Priscilla
63OML.
5.74
SLIP / TILL / CASHIER / DATE
5042
221
/
19.03.24
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
R R
14.°9 A
16.99 A
43.97
43.97
incl.
43.97 A
TIME
08 :20"|Menlyn Main Centre Superspar|[{'name':'Kit Kat Choc Milk 4F','quantity':1,'price':14.99},{'name':'Thirsti Isofit','quantity':1,'price':11.99},{'name':'Endura Raceday R/Berry','quantity':1,'price':16.39}]|R|43.97|19/03/2024 08:20
"MENL YN MAIN CENTRE
SPERSPAR
VAl NR: 4770111336
LIQ LIC : GLB700000378
PHNE NR: 012 348 2204
BOS ICE TEA BERR
SAVOURY BREAD
VAT rate
15.00%
24.99
TOTAL
TENDERED Cedit Card
FOP 2 ITEMS
excl.
300ML
TAX INV0ICE
38.24
EACH
TAX
5.74
R
18.99 A
Z03
t le
TH/ NK YOU FOR
YOUR SUF ORT
PLEASE CALL ÁGAIN
24.99 A
43.98
43.98
incl.
43.98 A
/ CASHER/ DATE / TIME
22.03.24 12:25"|Menlyn Main Centre Superspar|[{'name':'Bos Ice Tea Berr','quantity':1,'price':18.99},{'name':'Savoury Bread','quantity':1,'price':24.99}]|R|43.98|22/03/2024 12:25
"MENL YN MAIN CENTRE
SUPERSPAR
VAT NR: 4770111336
LIQ LIC: GLB700000378
PHONE NR: 012 348 2204
LAYS SALT
LIPTON ICE TEA
VAT rate
0.00%
15.00%
FRESH CHICKEN FILLETS 7 /KG
0.646kg @
SPAR MILK L/L 2%
SPAR SPAGHETTI
TOTAL FOR 5 ITEMS
TENDERED Credit Card
87.99 R
excl.
19.49
120GR
108.97
1.5LT
TAX INV0ICE
SLIP_/ TILL
4648 005
CASHIER NAME: Bafidele
/kg
1LŤ
500GR
TAX
0.00
16.34
R
23.49 A
25.99 A
THANK YOU FOR
YOUR SUPPORT
PLEASE CALL AGAIN
56.84 A
19.49 *
18.99 A
144.80
144.80
incl,
19.49 *
125.31 A
/ CASHIER / DATE/
233 15.04.24 17:12
TIME"|Menlyn Main Centre Superspar|[{'name':'Lays Salt','quantity':1,'price':23.49},{'name':'Lipton Ice Tea','quantity':1,'price':25.99},{'name':'Fresh Chicken Fillets 7 /KG','quantity':1,'price':56.84},{'name':'Spar Milk L/L 2%','quantity':1,'price':19.49},{'name':'Spar Spaghetti','quantity':1,'price':18.99}]|R|144.80|15/04/2024 17:12
"GAU/201670C
Rate
Lynnwood, Glenfair Mall
TAX Invo ice VAT NO. 4420106777
Checkers
BRDBRW PRM 700G
CHICKEN MINCE
TOTAL
Tel No 012 470-9980
15.00%
0.00%
Elect Payment
Vat
6.08
0.00
R16 99
R46.61
R63.60
R63.60
TOTAL
46.61
16.99
Get your XTRA SAVINGS Card now
to get xtra cash savings, Instant ly!
To sign up in just 3min, either:
1. Dial *134*885*CARDNUMBER#
2. Visit checkers .co.za
3. Add 087 240 5385 as a Whatsâpp
contact and say ""Hi""
You were helped by
Nompume lelo Nkambule
CO097 #0298 18:36:55 270324 SO01771 RO8
Please keep your till slip
as proof of purchase
For cash rounding. VAT shown on this
slip must be adjus ted for input tax"|Checkers Lynnwood, Glenfair Mall|[{'name':'Brdrw Prm 700G','quantity':1,'price':16.99},{'name':'Chicken Mince','quantity':1,'price':46.61}]|R|63.60|27/03/2024 18:36
"tops!
GLENFAIR TOPS
VAT : 42 10229326
TEL : 0607923436
Cnr Lynwood & Daventry road
LA REG NO : GAU037899
PORCUPINE CHARD
TOTAL FOR 1 ITEMS
TENDERED Credit Card
VAT rate
15.00%
TAX INVOICE
excl.
57.99
750ML
SLIP / TILL
2649 C01
CASHIER NAME: POS 21
TAX
8.70
/ CASHIER / DATE /
R
66.69 A
66.69
66.69
incl.
66.69 A
TIME
21 27.03.24 18:17
THANK YOU FOR SHOPPING WITH US"|Glenfair Tops|{'name':'Porcupine Chard','quantity':1,'price':6.69}|R|66.69|27/03/2024 18:17
"Menlyn Ma ine Central Square, Corner of
Dallas Ave and, Aramist Ave, Menlyn,
Pretoria
KAUAL I1ENLYN MAINE
Phone : 087 159 0127
KAUAT
1335 SIKHALIPHILE
Card Ret
CHK 1839 TBL 117/1
2024/04/17 12:15 PM
Subtotal
Payment
VAT:
NATURALLY
1 BBQ Chi cken Wrap
1 Peanut Butter Bomb Lrg 86.00
22.57 Tax
Change Due
22.57 RSA VAT 15%
87.00
R173.00
R173.00
R13.00
Check Cl0sed --
2024/04/17 12:15 PM
R0.00
1.00"|Kauai Menlyn Maine|[{'name':'BBQ Chicken Wrap','quantity':1,'price':87.00},{'name':'Peanut Butter Bomb Lrg','quantity':1,'price':86.00}]|R|173.00|17/04/24 12:15PM
